Title,Location,Area,Status,Price,Year,Bathroom,District
3 BHK Independent Floor,,1250,Ready to move,1.5,,,South/West/Central Delhi
2 BHK Independent House,,540,Ready to move,55,,,South-West Delhi
2 BHK Apartment,,1250,Ready to move,2.25,,,South/West/Central Delhi
6 BHK Independent House,,9000,Ready to move,75,,,South-West Delhi
3 BHK Independent Floor,,1225,Ready to move,1.4,,,South/West/Central Delhi
2 BHK Apartment,,500,Ready to move,22,,,South-West Delhi
3 BHK Apartment,,950,Ready to move,45,,,South-West Delhi
1 BHK Apartment,,450,Ready to move,17,,,South/West/Central Delhi
2 BHK Apartment,,600,Ready to move,25.5,,,South-West Delhi
3 BHK Apartment,,900,Ready to move,40,,,South-West Delhi
2 BHK Apartment,,570,Ready to move,25,,,South-West Delhi
3 BHK Apartment,,770,Ready to move,36,,,South-West Delhi
2 BHK Apartment,,510,Ready to move,21.25,,,South-West Delhi
2 BHK Apartment,,600,Ready to move,24,,,South-West Delhi
2 BHK Independent Floor,,1350,Ready to move,2.25,,,South/West/Central Delhi
2 BHK Independent Floor,,1350,Ready to move,1.8,,,South/West/Central Delhi
3 BHK Independent Floor,,1750,Ready to move,2.2,,,South/West/Central Delhi
3 BHK Independent Floor,,1620,Ready to move,2.8,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1620,Ready to move,3.5,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1728,Ready to move,3.35,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1350,Under Construction,2.5,,3 Bathrooms,South/West/Central Delhi
2 BHK Apartment,,1100,Ready to move,1.55,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,700,Ready to move,40,,6 years old,South-West Delhi
4 BHK Independent Floor,,3120,Ready to move,4.5,,6 years old,South/West/Central Delhi
3 BHK Independent Floor,,900,Ready to move,1.5,,2 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,2.75,,3 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,1800,Ready to move,2.65,,5 - 6 years old,South/West/Central Delhi
2 BHK Apartment,,850,Ready to move,82,,3 years old,South-West Delhi
2 BHK Apartment,,900,Ready to move,90,,3 years old,South-West Delhi
3 BHK Independent Floor,,1250,Ready to move,2.5,,4 - 5 years old,South/West/Central Delhi
2 BHK Independent Floor,,1500,Ready to move,2,,4 - 5 years old,South/West/Central Delhi
4 BHK Independent Floor,,3600,Ready to move,8.25,,5 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,3.6,,3 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,2850,Ready to move,1.7,,4 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,1050,Ready to move,59.99,,0 - 1 year old,South-West Delhi
2 BHK Apartment,,660,Ready to move,27.99,,0 - 1 year old,South-West Delhi
3 BHK Apartment,,775,Ready to move,34.99,,0 - 1 year old,South-West Delhi
3 BHK Apartment,,1650,Ready to move,1.8,,,South/West/Central Delhi
